Category,Percentage,Token,TGE,TGE Token,Cliff (m),Vesting,First tokens (m),Last tokens (m)
LightLink Foundation,10.00%,"10,000,000.00",20%,"2,000,000.00",18,12 month daily linear,19,30
Private,7.00%,"7,000,000.00",20.00%,"1,400,000.00",2,14 month daily linear,4,17
KOL,5.00%,"5,000,000.00",30.00%,"1,500,000.00",2,12 month daily linear,4,15
Public,8.00%,"8,000,000.00",40%,"3,200,000.00",1,8 month daily linear,3,12
Advisors,2.00%,"2,000,000.00",0%,0,10,30 month daily linear,11,40
Team,9.00%,"9,000,000.00",0%,0,16,30 month daily linear,17,46
Rewards,5.00%,"5,000,000.00",25%,"1,250,000.00",0,25% p/m,1,3
Liquidity,15.00%,"15,000,000.00",50%,"7,500,000.00",0,10 month daily linear,1,11
Reserve,11.00%,"11,000,000.00",0%,0,6,60 month daily linear,7,66
Protocol Incentives,28.00%,"28,000,000.00",5.00%,"1,400,000.00",0,36 month daily linear,1,37
TOTAL,100%,"100,000,000",18.25%,"18,250,000",,,,
