Allocation,Description,Amount,Percentage,0.00,30.00,61.00,91.00,122.00,153.00,183.00,214.00,244.00,275.00,306.00,334.00,365.00,395,426,456,487,518,548,579,609,640,660,690,720,750,780,810,840,870,900,930,960,990,1020,1050,1080,1110,1140,1170,1200,1230,1260,1290,1320,1350,1380,1410,1440,1470,1500,1530,1560,1590,1620,1650,1680,1710,1740,1770,1800,1830,1860,1890,1920
Private,Private round raise,"7,000,000.00",7.00%,"1,400,000.00","466,666.67","466,666.67","466,666.67","466,666.67","466,666.67","466,666.67","466,666.67","466,666.67","466,666.67","466,666.67","466,666.67","466,666.67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOL,KOL round raise,"5,000,000.00",5.00%,"1,500,000.00","350,000.00","350,000.00","350,000.00","350,000.00","350,000.00","350,000.00","350,000.00","350,000.00","350,000.00","350,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public,TGE public sale,"8,000,000.00",8.00%,"3,200,000.00","600,000.00","600,000.00","600,000.00","600,000.00","600,000.00","600,000.00","600,000.00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advisors,Advisory tranche,"5,000,000.00",5.00%,0,0,0,0,0,0,0,0,0,"166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67","166,666.67",0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team,Team incentive tranche,"15,000,000.00",15.00%,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,"500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rewards,Community airdrop & rewards,"5,000,000.00",5.00%,"1,250,000.00","1,250,000.00","1,250,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquidity,DEX liquidity & Staking,"15,000,000.00",15.00%,"7,500,000.00","750,000.00","750,000.00","750,000.00","750,000.00","750,000.00","750,000.00","750,000.00","750,000.00","750,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Reserve,"Development, growth, marketing","12,000,000.00",12.00%,0.00,0.00,0.00,0.00,0.00,"200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00"
Protocol Incentives,Rewards for protocol supporters (LP's),"28,000,000.00",28.00%,"1,400,000.00","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89","738,888.89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
